id_kota;nama;sandi
446;Kab. Bima ;7105
447;Kab. Dompu ;7106
448;Kab. Sumbawa Barat;7107
449;Kab. Lombok Utara;7108
450;Kota Mataram ;7191
451;Kota Bima;7192
452;Provinsi Bali;7200
453;Kab. Buleleng ;7201
454;Kab. Jembrana ;7202
455;Kab. Tabanan ;7203
456;Kab. Badung;7204
457;Kab. Gianyar ;7205
458;Kab. Klungkung ;7206
459;Kab. Bangli ;7207
460;Kab. Karangasem ;7208
461;Kota Denpasar ;7291
462;Provinsi Nusa Tenggara Timur;7400
463;Kab. Kupang ;7401
464;Kab. Timor-Tengah Selatan ;7402
465;Kab. Timor-Tengah Utara ;7403
466;Kab. Belu ;7404
467;Kab. Alor ;7405
468;Kab. Flores Timur ;7406
469;Kab. Sikka ;7407
470;Kab. Ende ;7408
471;Kab. Ngada ;7409
472;Kab. Manggarai ;7410
473;Kab. Sumba Timur;7411
474;Kab. Sumba Barat ;7412
475;Kab. Lembata;7413
476;Kab. Rote Ndao;7414
477;Kab. Manggarai Barat;7415
478;Kab. Sumba Tengah;7416
479;Kab. Sumba Barat Daya;7417
480;Kab. Manggarai Timur;7418
481;Kab. Nagekeo;7419
482;Kab. Sabu Raijua;7420
483;Kab. Malaka;7421
484;Kota Kupang ;7491
485;Provinsi Maluku;8100
486;Kab. Maluku Tengah ;8101
487;Kab. Maluku Tenggara ;8102
488;Kab. Maluku Tenggara Barat;8103
489;Kab. Buru;8104
490;Kab. Seram Bagian Barat;8105
491;Kab. Seram Bagian Timur;8106
492;Kab. Kepulauan Aru;8107
493;Kab. Maluku Barat Daya ;8108
494;Kab. Buru Selatan;8109
495;Kota Ambon ;8191
496;Kota Tual;8192
497;Provinsi Papua;8200
498;Kab. Jayapura ;8201
499;Kab. Biak Numfor ;8202
500;Kab. Kepulauan Yapen-Waropen ;8210
501;Kab. Merauke ;8211
502;Kab. Paniai ;8212
503;Kab. Jayawijaya ;8213
504;Kab. Nabire;8214
505;Kab. Mimika;8215
506;Kab. Puncak Jaya;8216
507;Kab. Sarmi;8217
508;Kab. Keerom;8218
509;Kab. Pegunungan Bintang;8221
510;Kab. Yahukimo;8222
511;Kab. Tolikara;8223
512;Kab. Waropen;8224
513;Kab. Boven Digoel;8226
514;Kab. Mappi;8227
515;Kab. Asmat;8228
516;Kab. Supiori;8231
517;Kab. Mamberamo Raya;8232
518;Kab. Dogiyai;8233
519;Kab. Lanny Jaya;8234
520;Kab. Mamberamo Tengah;8235
521;Kab. Nduga;8236
522;Kab. Yalimo;8237
523;Kab. Puncak ;8238
524;Kab. Intan Jaya;8239
525;Kab. Deiya;8240
526;Kota Jayapura ;8291
527;Provinsi Maluku Utara;8300
528;Kab. Halmahera Tengah  ;8302
529;Kab. Halmahera Utara;8303
530;Kab. Halmahera Timur;8304
531;Kab. Halmahera Barat;8305
532;Kab. Halmahera Selatan;8306
533;Kab. Kepulauan Sula;8307
534;Kab. Pulau Morotai;8308
535;Kab. Pulau Taliabu;8309
536;Kota Ternate   ;8390
537;Kota Tidore Kepulauan;8391
538;Provinsi Papua Barat;8400
539;Kab. Sorong ;8401
540;Kab. Fak-Fak ;8402
541;Kab. Manokwari ;8403
542;Kab. Sorong Selatan;8404
543;Kab. Raja Ampat;8405
544;Kab. Kaimana;8406
545;Kab. Teluk Bintuni;8407
546;Kab. Teluk Wondama;8408
547;Kab. Tembrauw;8409
548;Kab. Maybrat;8410
549;Kab. Pegunungan Arfak;8411
550;Kab. Manokwari Selatan;8412
551;Kota Sorong;8491
552;Di Luar Indonesia;9999
